CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,Location Type,AES,Agro-ecological zone (AEZ),SLO,Activity location type,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s)
3.6,3.5.5,,3.5 Enhanced nutritional grain,,,,,,pearl millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,,,,
3.6,3.5.6,,3.5 Enhanced nutritional grain,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.5.7,,3.5 Enhanced nutritional grain,,,,,,pearl millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,4.1.1,,4.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Fertilizers,,,,,,,,,,,,,,,,,,,,,
3.6,4.1.2,,4.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Fertilizers,,,,,,,,,,,,,,,,,,,,,
3.6,4.1.3,,4.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Training,,,,,,,,,,,,,,,,,,,,,
3.6,4.1.4,,4.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Training,,,,,,,,,,,,,,,,,,,,,
3.6,4.1.5,,4.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Training,,,,,,,,,,,,,,,,,,,,,
3.6,4.2.1,,4.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Extension,,,,,,,,,,,,,,,,,,,,,
3.6,4.2.2,,4.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Extension,,,,,,,,,,,,,,,,,,,,,
