Organization,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),,,,,,,,,,,,,,,
ASARECA,3.3.1.4,,3.1,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish production,,,,,,,,,,,,,,,,,,
ASARECA,3.3.2.1,,3.2,,,,,,cattle|goats|sheep,Economic and policy technology|Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Market access,,,,,,,,,,,,,,,,,,
ASARECA,3.3.2.2,,3.2,,,,,,fish,Economic and policy technology|Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Market access,,,,,,,,,,,,,,,,,,
ASARECA,3.3.2.3,,3.2,,,,,,fish,Economic and policy technology|Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Market access,,,,,,,,,,,,,,,,,,
ASARECA,3.3.2.4,,3.2,,,,,,fish,Economic and policy technology|Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Market access,,,,,,,,,,,,,,,,,,
ASARECA,3.3.3.1,,3.3,,,,,,cattle|goats|sheep|fish,Economic and policy technology|Education technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Policy,,,,,,,,,,,,,,,,,,
ASARECA,3.3.3.2,,3.3,,,,,,cattle|goats|sheep|fish,Economic and policy technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Market access,,,,,,,,,,,,,,,,,,
ASARECA,3.3.3.3,,3.3,,,,,,cattle|goats|sheep|fish,Economic and policy technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Market access,,,,,,,,,,,,,,,,,,
ASARECA,3.3.3.5,,3.3,,,,,,fish,Economic and policy technology|Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Market access,,,,,,,,,,,,,,,,,,
ASARECA,3.4.1.3,,4.1,,,,,,cattle|goats|sheep|fish,Economic and policy technology|Education technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.1.4,,4.1,,,,,,fish,Economic and policy technology|Climate information and advisory service,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.1.5,,4.1,,,,,,cattle|goats|sheep|fish,Economic and policy technology|Education technology|Climate information and advisory service,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.1.6,,4.1,,,,,,fish,Economic and policy technology|Climate information and advisory service,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.2.1,,4.1,,,,,,cattle|goats|sheep,Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.2.7,,4.1,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.1.1.4,,1.1,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish genetic resources and Breeding,,,,,,,,,,,,,,,,,,
ASARECA,3.1.1.5,,1.1,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish genetic resources and Breeding,,,,,,,,,,,,,,,,,,
ASARECA,3.1.1.6,,1.1,,,,,,fish,Economic and policy technology|Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish genetic resources and Breeding,,,,,,,,,,,,,,,,,,
ASARECA,3.1.2.7,,1.2,,,,,,fish,Water management technolog,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Aquaculture,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.10,,1.3,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish health,,,,,,,,,,,,,,,,,,
ASARECA,3.4.2.2,,4.1,,,,,,cattle|goats|sheep,Education technology|Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.2.3,,4.1,,,,,,cattle|goats|sheep,Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.2.4,,4.1,,,,,,cattle|goats|sheep,Waste-water treatment|Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.2.5,,4.1,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.2.6,,4.1,,,,,,fish,Education technology|Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
